N,T,trial,iterations,fitness,time,fevals
20,8,0,0,12.0,0.001934482,140,0
20,8,0,10,11.0,0.002449553,260,0
20,8,0,20,11.0,0.002722447,383,1
20,8,0,30,11.0,0.002998396,497,2
20,8,0,40,11.0,0.003178973,612,3
20,8,0,50,15.0,0.003347877,734,4
20,8,0,60,15.0,0.003535223,853,0
20,8,0,70,15.0,0.00374398,971,1
20,8,0,80,16.0,0.00386468,1092,2
20,8,0,90,15.0,0.004028892,1211,0
20,8,0,100,15.0,0.00428518,1327,1
20,8,0,110,15.0,0.004532751,1442,2
20,8,0,120,17.0,0.004749558,1560,3
20,8,0,130,18.0,0.004979256,1675,0
20,8,0,140,18.0,0.00559492,1788,0
20,8,0,150,18.0,0.005809091,1907,1
20,8,0,160,19.0,0.006012759,2024,2
20,8,0,170,19.0,0.00630647,2137,0
20,8,0,180,19.0,0.006528782,2257,1
20,8,0,190,18.0,0.006599899,2370,2
20,8,0,200,20.0,0.006699734,2489,3
20,8,0,210,18.0,0.006794098,2607,0
20,8,0,220,18.0,0.006888272,2730,1
20,8,0,230,18.0,0.007019605,2851,2
20,8,0,240,18.0,0.007121389,2969,3
20,8,0,250,20.0,0.007224214,3087,4
20,8,0,260,20.0,0.007309396,3211,5
20,8,0,270,20.0,0.007373288,3334,6
20,8,0,280,20.0,0.007451122,3450,7
20,8,0,290,20.0,0.007551033,3571,8
20,8,0,300,20.0,0.007657845,3689,9
20,8,0,310,20.0,0.007758436,3806,10
20,8,0,320,20.0,0.007860702,3925,11
20,8,0,330,18.0,0.007976803,4037,12
20,8,0,340,18.0,0.008082292,4159,13
20,8,0,350,16.0,0.008147403,4281,14
20,8,0,360,17.0,0.00826345,4401,15
20,8,0,370,17.0,0.00833667700001,4521,16
20,8,0,380,16.0,0.00842894200001,4646,17
20,8,0,390,17.0,0.00851476600001,4762,18
20,8,0,400,17.0,0.00860382900001,4880,19
20,8,0,410,17.0,0.00868943300001,5001,20
20,8,0,420,17.0,0.00877837700001,5120,21
20,8,0,430,17.0,0.008863507,5239,22
20,8,0,440,17.0,0.00895371300001,5355,23
20,8,0,450,17.0,0.009038099,5472,24
20,8,0,460,19.0,0.009128636,5591,25
20,8,0,470,17.0,0.00921105,5712,26
20,8,0,480,17.0,0.009257468,5835,27
20,8,0,490,17.0,0.00930344,5953,28
20,8,0,500,20.0,0.00937189,6073,29
20,8,0,510,20.0,0.009428386,6187,30
20,8,0,520,20.0,0.009482838,6303,31
20,8,0,530,20.0,0.009530432,6419,32
20,8,0,540,20.0,0.009581881,6541,33
20,8,0,550,20.0,0.009650379,6655,34
20,8,0,560,20.0,0.009703374,6774,35
20,8,0,570,20.0,0.009753826,6894,36
20,8,0,580,20.0,0.009800325,7013,37
20,8,0,590,20.0,0.009879457,7131,38
20,8,0,600,20.0,0.009930165,7251,39
20,8,0,610,20.0,0.009976763,7373,40
20,8,0,620,20.0,0.010048308,7494,41
20,8,0,630,20.0,0.010122139,7610,42
20,8,0,640,19.0,0.010194066,7729,43
20,8,0,650,20.0,0.010266735,7845,44
20,8,0,660,20.0,0.010337737,7963,45
20,8,0,670,20.0,0.010412938,8082,46
20,8,0,680,20.0,0.010484275,8199,47
20,8,0,690,20.0,0.010561967,8318,48
20,8,0,700,20.0,0.010614831,8435,49
20,8,0,710,20.0,0.010682732,8551,50
20,8,0,720,20.0,0.010751407,8664,51
20,8,0,730,20.0,0.010819659,8783,52
20,8,0,740,20.0,0.010887242,8897,53
20,8,0,750,20.0,0.010954395,9019,54
20,8,0,760,20.0,0.01101227,9138,55
20,8,0,770,20.0,0.011090732,9258,56
20,8,0,780,19.0,0.011165369,9371,57
20,8,0,790,19.0,0.011240992,9490,58
20,8,0,800,19.0,0.011307127,9611,59
20,8,0,810,19.0,0.011374871,9728,60
20,8,0,820,19.0,0.011441145,9842,61
20,8,0,830,19.0,0.011501402,9965,62
20,8,0,840,19.0,0.011547717,10082,63
20,8,0,850,19.0,0.011593503,10200,64
20,8,0,860,19.0,0.01164301,10315,65
20,8,0,870,20.0,0.011718732,10434,66
20,8,0,880,19.0,0.011787518,10550,67
20,8,0,890,20.0,0.011863495,10669,68
20,8,0,900,19.0,0.01193571,10790,69
20,8,0,910,19.0,0.012010709,10906,70
20,8,0,920,19.0,0.012093341,11023,71
20,8,0,930,19.0,0.012165253,11141,72
20,8,0,940,18.0,0.012238679,11258,73
20,8,0,950,18.0,0.012310318,11376,74
20,8,0,960,18.0,0.012383779,11496,75
20,8,0,970,17.0,0.012456639,11616,76
20,8,0,980,18.0,0.012511031,11733,77
20,8,0,990,19.0,0.01257942,11852,78
20,8,0,1000,18.0,0.012667786,11970,79
20,8,0,1010,18.0,0.012746935,12091,80
20,8,0,1020,18.0,0.012822737,12209,81
20,8,0,1030,19.0,0.012903722,12324,82
20,8,0,1040,19.0,0.012973521,12446,83
20,8,0,1050,19.0,0.013030143,12563,84
20,8,0,1060,20.0,0.013089168,12681,85
20,8,0,1070,20.0,0.013144115,12794,86
20,8,0,1080,20.0,0.013200632,12915,87
20,8,0,1090,20.0,0.013267485,13034,88
20,8,0,1100,20.0,0.013329657,13154,89
20,8,0,1110,20.0,0.013381807,13271,90
20,8,0,1120,20.0,0.01343794,13388,91
20,8,0,1130,20.0,0.013488136,13513,92
20,8,0,1140,20.0,0.013544234,13631,93
20,8,0,1150,20.0,0.013600839,13743,94
20,8,0,1160,20.0,0.013660498,13866,95
20,8,0,1170,20.0,0.013715876,13981,96
20,8,0,1180,20.0,0.013774312,14098,97
20,8,0,1190,20.0,0.013829285,14219,98
20,8,0,1200,20.0,0.013883186,14339,99
20,8,0,1200,20.0,0.013883186,14339,optimal
20,8,1,0,10.0,8.21600000016e-05,144,0
20,8,1,10,10.0,0.000162757000002,258,0
20,8,1,20,12.0,0.000265108000001,372,1
20,8,1,30,13.0,0.000342615000001,483,0
20,8,1,40,13.0,0.000416770000001,599,0
20,8,1,50,13.0,0.000488563000001,722,1
20,8,1,60,13.0,0.000562715000001,843,2
20,8,1,70,13.0,0.000637852000001,963,3
20,8,1,80,13.0,0.000703538,1085,4
20,8,1,90,13.0,0.000794332999998,1205,5
20,8,1,100,13.0,0.000886038999997,1325,6
20,8,1,110,13.0,0.001012705,1446,7
20,8,1,120,13.0,0.001115573,1566,8
20,8,1,130,13.0,0.001198389,1686,9
20,8,1,140,16.0,0.001266653,1807,10
20,8,1,150,16.0,0.001337553,1924,0
20,8,1,160,18.0,0.001411624,2042,1
20,8,1,170,16.0,0.001486431,2159,0
20,8,1,180,16.0,0.001558707,2274,1
20,8,1,190,16.0,0.001645322,2395,2
20,8,1,200,18.0,0.001725237,2512,3
20,8,1,210,18.0,0.001815943,2629,4
20,8,1,220,18.0,0.00190675,2750,5
20,8,1,230,18.0,0.001976639,2870,6
20,8,1,240,20.0,0.002049144,2992,7
20,8,1,250,20.0,0.002123206,3111,0
