N,T,trial,iterations,fitness,time,fevals
20,8,0,0,9.0,0.00135623300002,200,0
20,8,0,10,9.0,0.00256904699995,420,0
20,8,0,20,9.0,0.00398644699999,640,1
20,8,0,30,10.0,0.00560369499999,860,2
20,8,0,40,11.0,0.00711946000001,1080,0
20,8,0,50,10.0,0.00833109899986,1300,0
20,8,0,60,10.0,0.0095256799998,1520,1
20,8,0,70,11.0,0.0110773869999,1740,2
20,8,0,80,11.0,0.0125325239999,1960,3
20,8,0,90,15.0,0.0138050309997,2180,4
20,8,0,100,17.0,0.0149691189997,2400,0
20,8,0,110,15.0,0.0160826729996,2620,0
20,8,0,120,15.0,0.0172087999995,2840,1
20,8,0,130,15.0,0.0185393279994,3060,2
20,8,0,140,15.0,0.0199060509995,3280,3
20,8,0,150,15.0,0.0210117979993,3500,4
20,8,0,160,16.0,0.0221985039993,3720,5
20,8,0,170,16.0,0.0236183699994,3940,6
20,8,0,180,17.0,0.0249850069995,4160,7
20,8,0,190,18.0,0.0261038659994,4380,8
20,8,0,200,16.0,0.0271921569995,4600,0
20,8,0,210,16.0,0.0282476579994,4820,1
20,8,0,220,16.0,0.0292814389993,5040,2
20,8,0,230,16.0,0.0303629859993,5260,3
20,8,0,240,16.0,0.0314359429995,5480,4
20,8,0,250,18.0,0.0327528749995,5700,5
20,8,0,260,18.0,0.0342432859993,5920,6
20,8,0,270,18.0,0.0353101859994,6140,7
20,8,0,280,18.0,0.0365479599996,6360,8
20,8,0,290,18.0,0.0380219469996,6580,9
20,8,0,300,18.0,0.0392006069994,6800,10
20,8,0,310,18.0,0.0402358149995,7020,11
20,8,0,320,18.0,0.0413056319994,7240,12
20,8,0,330,18.0,0.0423625769995,7460,13
20,8,0,340,18.0,0.0434938869996,7680,14
20,8,0,350,18.0,0.0446577629996,7900,15
20,8,0,360,18.0,0.0461432329996,8120,16
20,8,0,370,20.0,0.0474236239997,8340,17
20,8,0,380,20.0,0.0484489609996,8560,0
20,8,0,390,20.0,0.0494621299997,8780,1
20,8,0,400,20.0,0.0506133739998,9000,2
20,8,0,410,20.0,0.0519978759999,9220,3
20,8,0,420,20.0,0.0530169439999,9440,4
20,8,0,430,20.0,0.0540523039999,9660,5
20,8,0,440,20.0,0.0551348729998,9880,6
20,8,0,450,20.0,0.0561435919997,10100,7
20,8,0,460,20.0,0.0572235769996,10320,8
20,8,0,470,20.0,0.0582719479996,10540,9
20,8,0,480,20.0,0.0595798149998,10760,10
20,8,0,490,20.0,0.0608887539997,10980,11
20,8,0,500,20.0,0.0619023029997,11200,12
20,8,0,510,20.0,0.0629152019999,11420,13
20,8,0,520,20.0,0.0641230629999,11640,14
20,8,0,530,20.0,0.0654816049998,11860,15
20,8,0,540,20.0,0.0666835049997,12080,16
20,8,0,550,20.0,0.0676953169998,12300,17
20,8,0,560,20.0,0.0687447949997,12520,18
20,8,0,570,20.0,0.0697637569997,12740,19
20,8,0,580,20.0,0.0708494199996,12960,20
20,8,0,590,20.0,0.0723970799997,13180,21
20,8,0,600,20.0,0.0738784249997,13400,22
20,8,0,610,20.0,0.0750571279998,13620,23
20,8,0,620,20.0,0.0762237889999,13840,24
20,8,0,630,20.0,0.0779725329999,14060,25
20,8,0,640,20.0,0.0795199749998,14280,26
20,8,0,650,20.0,0.0805994839998,14500,27
20,8,0,660,20.0,0.0816403999997,14720,28
20,8,0,670,20.0,0.0828899239998,14940,29
20,8,0,680,20.0,0.0843536629998,15160,30
20,8,0,690,20.0,0.0859353419999,15380,31
20,8,0,700,20.0,0.0872149479999,15600,32
20,8,0,710,20.0,0.088274854,15820,33
20,8,0,720,20.0,0.0894765319999,16040,34
20,8,0,730,20.0,0.0907491620001,16260,35
20,8,0,740,20.0,0.0917691340001,16480,36
20,8,0,750,20.0,0.092782963,16700,37
20,8,0,760,20.0,0.0938540330001,16920,38
20,8,0,770,20.0,0.0948611060003,17140,39
20,8,0,780,20.0,0.0958627590003,17360,40
20,8,0,790,20.0,0.0968853070003,17580,41
20,8,0,800,20.0,0.0982883610004,17800,42
20,8,0,810,20.0,0.0997405720004,18020,43
20,8,0,820,20.0,0.100968396001,18240,44
20,8,0,830,20.0,0.101976335,18460,45
20,8,0,840,20.0,0.103038105001,18680,46
20,8,0,850,20.0,0.104406357001,18900,47
20,8,0,860,20.0,0.105502906001,19120,48
20,8,0,870,20.0,0.106513171001,19340,49
20,8,0,880,20.0,0.107568624001,19560,50
20,8,0,890,20.0,0.108578409001,19780,51
20,8,0,900,20.0,0.109706737001,20000,52
20,8,0,910,20.0,0.111744633001,20220,53
20,8,0,920,20.0,0.113757257001,20440,54
20,8,0,930,20.0,0.115128862001,20660,55
20,8,0,940,20.0,0.116675977001,20880,56
20,8,0,950,20.0,0.117719065001,21100,57
20,8,0,960,20.0,0.118806744001,21320,58
20,8,0,970,20.0,0.119957123001,21540,59
20,8,0,980,20.0,0.121419221001,21760,60
20,8,0,990,20.0,0.122674435001,21980,61
20,8,0,1000,20.0,0.123693335001,22200,62
20,8,0,1010,20.0,0.124909672001,22420,63
20,8,0,1020,20.0,0.126306631001,22640,64
20,8,0,1030,20.0,0.127347102002,22860,65
20,8,0,1040,20.0,0.128373168001,23080,66
20,8,0,1050,20.0,0.129410155002,23300,67
20,8,0,1060,20.0,0.130415154002,23520,68
20,8,0,1070,20.0,0.131423918001,23740,69
20,8,0,1080,20.0,0.132497361001,23960,70
20,8,0,1090,20.0,0.133713771002,24180,71
20,8,0,1100,20.0,0.135118133002,24400,72
20,8,0,1110,20.0,0.136483811002,24620,73
20,8,0,1120,20.0,0.137496618002,24840,74
20,8,0,1130,20.0,0.138671097002,25060,75
20,8,0,1140,20.0,0.140048674001,25280,76
20,8,0,1150,20.0,0.141060565001,25500,77
20,8,0,1160,20.0,0.142068068001,25720,78
20,8,0,1170,20.0,0.143098091001,25940,79
20,8,0,1180,20.0,0.144102898001,26160,80
20,8,0,1190,20.0,0.145125165001,26380,81
20,8,0,1200,20.0,0.146226742001,26600,82
20,8,0,1210,20.0,0.147771363001,26820,83
20,8,0,1220,20.0,0.149452545001,27040,84
20,8,0,1230,20.0,0.150479171001,27260,85
20,8,0,1240,20.0,0.151680284001,27480,86
20,8,0,1250,20.0,0.153089935001,27700,87
20,8,0,1260,20.0,0.154193565001,27920,88
20,8,0,1270,20.0,0.155211997001,28140,89
20,8,0,1280,20.0,0.156294024001,28360,90
20,8,0,1290,20.0,0.157302700001,28580,91
20,8,0,1300,20.0,0.158390670001,28800,92
20,8,0,1310,20.0,0.159407238001,29020,93
20,8,0,1320,20.0,0.160624310001,29240,94
20,8,0,1330,20.0,0.161789353001,29460,95
20,8,0,1340,20.0,0.163001098001,29680,96
20,8,0,1350,20.0,0.164006825001,29900,97
20,8,0,1360,20.0,0.165176935001,30120,98
20,8,0,1370,20.0,0.166526962001,30340,99
20,8,0,1370,20.0,0.166526962001,30340,optimal
20,8,1,0,8.0,0.00152538299994,200,0
20,8,1,10,7.0,0.002893868,420,0
20,8,1,20,11.0,0.0042761159998,640,1
20,8,1,30,16.0,0.00548939499981,860,0
20,8,1,40,16.0,0.00710421799977,1080,0
20,8,1,50,17.0,0.00856259499983,1300,1
20,8,1,60,17.0,0.00982839599965,1520,0
20,8,1,70,17.0,0.0109034449995,1740,1
20,8,1,80,16.0,0.0121474369994,1960,2
20,8,1,90,16.0,0.0136448689993,2180,3
20,8,1,100,19.0,0.0147140309994,2400,4
20,8,1,110,19.0,0.0158135759993,2620,0
20,8,1,120,19.0,0.0168775539994,2840,1
20,8,1,130,20.0,0.0179208059994,3060,2
20,8,1,140,19.0,0.0189605389994,3280,0
20,8,1,150,19.0,0.0200723189994,3500,1
20,8,1,160,19.0,0.0215381549995,3720,2
20,8,1,170,19.0,0.0230005429994,3940,3
20,8,1,180,19.0,0.0240308929995,4160,4
20,8,1,190,19.0,0.0252360589993,4380,5
20,8,1,200,19.0,0.0266305129992,4600,6
20,8,1,210,19.0,0.0276687719991,4820,7
20,8,1,220,19.0,0.028681077999,5040,8
20,8,1,230,19.0,0.0297508479989,5260,9
20,8,1,240,19.0,0.030770533999,5480,10
20,8,1,250,19.0,0.0318062519991,5700,11
20,8,1,260,19.0,0.0328321999991,5920,12
20,8,1,270,19.0,0.034257784999,6140,13
20,8,1,280,20.0,0.0355595939991,6360,14
20,8,1,290,20.0,0.0368156389991,6580,15
