N,T,trial,iterations,fitness,time,fevals
20,8,0,0,5.0,0.000215322,11,0
20,8,0,10,11.0,0.0003154,21,0
20,8,0,20,11.0,0.000419776,31,0
20,8,0,30,11.0,0.000529766,41,1
20,8,0,40,11.0,0.000606192,51,2
20,8,0,50,11.0,0.000706491,61,3
20,8,0,60,11.0,0.000802282,71,4
20,8,0,70,11.0,0.000864024,81,5
20,8,0,80,13.0,0.000927133,91,6
20,8,0,90,13.0,0.001037146,101,0
20,8,0,100,13.0,0.001108792,111,1
20,8,0,110,13.0,0.001184035,121,2
20,8,0,120,13.0,0.001254514,131,3
20,8,0,130,13.0,0.001309435,141,4
20,8,0,140,13.0,0.001357717,151,5
20,8,0,150,13.0,0.001876668,161,6
20,8,0,160,13.0,0.00197612,171,7
20,8,0,170,13.0,0.002027003,181,8
20,8,0,180,13.0,0.002108369,191,9
20,8,0,190,13.0,0.002164058,201,10
20,8,0,200,13.0,0.00221105,211,11
20,8,0,210,13.0,0.00224351,221,12
20,8,0,220,17.0,0.002307718,231,13
20,8,0,230,17.0,0.002344068,241,0
20,8,0,240,17.0,0.002380989,251,1
20,8,0,250,20.0,0.002417838,261,2
20,8,0,260,20.0,0.002457151,271,0
20,8,0,270,20.0,0.002505376,281,1
20,8,0,280,20.0,0.002544896,291,2
20,8,0,290,20.0,0.002576879,301,3
20,8,0,300,20.0,0.002611942,311,4
20,8,0,310,20.0,0.002646136,321,5
20,8,0,320,20.0,0.002680274,331,6
20,8,0,330,20.0,0.002720636,341,7
20,8,0,340,20.0,0.002759141,351,8
20,8,0,350,20.0,0.002798792,361,9
20,8,0,360,20.0,0.002834499,371,10
20,8,0,370,20.0,0.002887356,381,11
20,8,0,380,20.0,0.002941334,391,12
20,8,0,390,20.0,0.002992869,401,13
20,8,0,400,20.0,0.00304329,411,14
20,8,0,410,20.0,0.003070944,421,15
20,8,0,420,20.0,0.003108059,431,16
20,8,0,430,20.0,0.003140617,441,17
20,8,0,440,20.0,0.003208158,451,18
20,8,0,450,20.0,0.00323788,461,19
20,8,0,460,20.0,0.003270033,471,20
20,8,0,470,20.0,0.003305359,481,21
20,8,0,480,20.0,0.003339056,491,22
20,8,0,490,20.0,0.003364892,501,23
20,8,0,500,20.0,0.003400673,511,24
20,8,0,510,20.0,0.003454574,521,25
20,8,0,520,20.0,0.003490854,531,26
20,8,0,530,20.0,0.003541081,541,27
20,8,0,540,20.0,0.003683496,551,28
20,8,0,550,20.0,0.003744882,561,29
20,8,0,560,20.0,0.00380646,571,30
20,8,0,570,20.0,0.003848613,581,31
20,8,0,580,20.0,0.003893006,591,32
20,8,0,590,20.0,0.003923336,601,33
20,8,0,600,20.0,0.003952124,611,34
20,8,0,610,20.0,0.003978668,621,35
20,8,0,620,20.0,0.004015724,631,36
20,8,0,630,20.0,0.004051115,641,37
20,8,0,640,20.0,0.004090351,651,38
20,8,0,650,20.0,0.004149074,661,39
20,8,0,660,20.0,0.004191573,671,40
20,8,0,670,20.0,0.004229544,681,41
20,8,0,680,20.0,0.004256614,691,42
20,8,0,690,20.0,0.004308406,701,43
20,8,0,700,20.0,0.004344182,711,44
20,8,0,710,20.0,0.004375154,721,45
20,8,0,720,20.0,0.004423603,731,46
20,8,0,730,20.0,0.004447794,741,47
20,8,0,740,20.0,0.004469346,751,48
20,8,0,750,20.0,0.004492235,761,49
20,8,0,760,20.0,0.004520938,771,50
20,8,0,770,20.0,0.004545332,781,51
20,8,0,780,20.0,0.004576977,791,52
20,8,0,790,20.0,0.004606687,801,53
20,8,0,800,20.0,0.004630184,811,54
20,8,0,810,20.0,0.004662668,821,55
20,8,0,820,20.0,0.004690584,831,56
20,8,0,830,20.0,0.004738123,841,57
20,8,0,840,20.0,0.004759655,851,58
20,8,0,850,20.0,0.004830332,861,59
20,8,0,860,20.0,0.004856388,871,60
20,8,0,870,20.0,0.004880644,881,61
20,8,0,880,20.0,0.00490646,891,62
20,8,0,890,20.0,0.004929921,901,63
20,8,0,900,20.0,0.004954288,911,64
20,8,0,910,20.0,0.004979004,921,65
20,8,0,920,20.0,0.005019216,931,66
20,8,0,930,20.0,0.005052621,941,67
20,8,0,940,20.0,0.005098201,951,68
20,8,0,950,20.0,0.005127644,961,69
20,8,0,960,20.0,0.005154837,971,70
20,8,0,970,20.0,0.00518845,981,71
20,8,0,980,20.0,0.005250758,991,72
20,8,0,990,20.0,0.005274555,1001,73
20,8,0,1000,20.0,0.005304585,1011,74
20,8,0,1010,20.0,0.005345358,1021,75
20,8,0,1020,20.0,0.005384436,1031,76
20,8,0,1030,20.0,0.005405996,1041,77
20,8,0,1040,20.0,0.005424008,1051,78
20,8,0,1050,20.0,0.00544051,1061,79
20,8,0,1060,20.0,0.005457451,1071,80
20,8,0,1070,20.0,0.005476291,1081,81
20,8,0,1080,20.0,0.005494665,1091,82
20,8,0,1090,20.0,0.005512021,1101,83
20,8,0,1100,20.0,0.005530656,1111,84
20,8,0,1110,20.0,0.005552119,1121,85
20,8,0,1120,20.0,0.005571491,1131,86
20,8,0,1130,20.0,0.0055991,1141,87
20,8,0,1140,20.0,0.005617577,1151,88
20,8,0,1150,20.0,0.005636791,1161,89
20,8,0,1160,20.0,0.005653551,1171,90
20,8,0,1170,20.0,0.005671093,1181,91
20,8,0,1180,20.0,0.00570044,1191,92
20,8,0,1190,20.0,0.005717238,1201,93
20,8,0,1200,20.0,0.005736277,1211,94
20,8,0,1210,20.0,0.005756468,1221,95
20,8,0,1220,20.0,0.005777002,1231,96
20,8,0,1230,20.0,0.005805224,1241,97
20,8,0,1240,20.0,0.005859086,1251,98
20,8,0,1250,20.0,0.005883457,1261,99
20,8,0,1250,20.0,0.005883457,1261,optimal
20,8,1,0,5.0,2.0528e-05,11,0
20,8,1,10,5.0,4.482e-05,21,0
20,8,1,20,11.0,6.8082e-05,31,1
20,8,1,30,11.0,9.5202e-05,41,0
20,8,1,40,12.0,0.000115966,51,1
20,8,1,50,15.0,0.000145943,61,0
20,8,1,60,15.0,0.000175572,71,0
20,8,1,70,15.0,0.000204965,81,1
20,8,1,80,16.0,0.000241611,91,2
20,8,1,90,17.0,0.000281453,101,0
20,8,1,100,17.0,0.000306288,111,0
20,8,1,110,19.0,0.000338419,121,1
20,8,1,120,19.0,0.000367383,131,0
20,8,1,130,19.0,0.000395205,141,1
20,8,1,140,20.0,0.000420775,151,2
20,8,1,150,20.0,0.000453483,161,0
20,8,1,160,20.0,0.000472203,171,1
20,8,1,170,20.0,0.00049511,181,2
20,8,1,180,20.0,0.000516839,191,3
20,8,1,190,20.0,0.000534561,201,4
20,8,1,200,20.0,0.000553548,211,5
20,8,1,210,20.0,0.00057118,221,6
20,8,1,220,20.0,0.000588804,231,7
20,8,1,230,20.0,0.000606483,241,8
20,8,1,240,20.0,0.00063065,251,9
20,8,1,250,20.0,0.000664269,261,10
20,8,1,260,20.0,0.000690551,271,11
20,8,1,270,20.0,0.000720156,281,12
