N,T,trial,iterations,fitness,time,fevals
20,8,0,0,8.0,6.48500000011e-06,11,0
20,8,0,10,4.0,1.18649999976e-05,21,0
20,8,0,20,6.0,1.73480000001e-05,31,1
20,8,0,30,3.0,2.35810000007e-05,41,2
20,8,0,40,4.0,2.93169999992e-05,51,3
20,8,0,50,4.0,3.45740000007e-05,61,4
20,8,0,60,3.0,4.00200000001e-05,71,5
20,8,0,70,5.0,4.45220000032e-05,81,6
20,8,0,80,4.0,4.90500000012e-05,91,7
20,8,0,90,4.0,5.45649999992e-05,101,8
20,8,0,100,5.0,6.13999999999e-05,111,9
20,8,0,110,10.0,6.77969999998e-05,121,10
20,8,0,120,11.0,7.29349999986e-05,131,0
20,8,0,130,12.0,7.81749999987e-05,141,0
20,8,0,140,12.0,8.44949999994e-05,151,0
20,8,0,150,12.0,8.98360000008e-05,161,1
20,8,0,160,12.0,9.42140000006e-05,171,2
20,8,0,170,12.0,0.000101904000001,181,3
20,8,0,180,12.0,0.000107886000002,191,4
20,8,0,190,13.0,0.000114029000002,201,5
20,8,0,200,13.0,0.000119898000001,211,0
20,8,0,210,13.0,0.000124347,221,1
20,8,0,220,19.0,0.000130189,231,2
20,8,0,230,19.0,0.000137028000001,241,0
20,8,0,240,19.0,0.000143314999999,251,1
20,8,0,250,19.0,0.000148807999999,261,2
20,8,0,260,19.0,0.000154723999998,271,3
20,8,0,270,19.0,0.000159742999998,281,4
20,8,0,280,19.0,0.000176530999997,291,5
20,8,0,290,19.0,0.000182028999998,301,6
20,8,0,300,19.0,0.000189079999995,311,7
20,8,0,310,19.0,0.000195726999994,321,8
20,8,0,320,19.0,0.000203317999993,331,9
20,8,0,330,19.0,0.000209318999993,341,10
20,8,0,340,19.0,0.000215832999992,351,11
20,8,0,350,19.0,0.000224301999992,361,12
20,8,0,360,20.0,0.000228657999994,371,13
20,8,0,370,20.0,0.000235791999994,381,0
20,8,0,380,20.0,0.000243768999994,391,1
20,8,0,390,20.0,0.000249093999994,401,2
20,8,0,400,20.0,0.000254409999997,411,3
20,8,0,410,20.0,0.000260891999996,421,4
20,8,0,420,20.0,0.000264979999997,431,5
20,8,0,430,20.0,0.000270061999995,441,6
20,8,0,440,20.0,0.000274348999994,451,7
20,8,0,450,20.0,0.000279899999992,461,8
20,8,0,460,20.0,0.000285986999991,471,9
20,8,0,470,20.0,0.00029241799999,481,10
20,8,0,480,20.0,0.000299321999989,491,11
20,8,0,490,20.0,0.000305236999989,501,12
20,8,0,500,20.0,0.000310697999989,511,13
20,8,0,510,20.0,0.000326911999988,521,14
20,8,0,520,20.0,0.000334047999988,531,15
20,8,0,530,20.0,0.000341014999989,541,16
20,8,0,540,20.0,0.000357265999991,551,17
20,8,0,550,20.0,0.000363228999991,561,18
20,8,0,560,20.0,0.000370416999989,571,19
20,8,0,570,20.0,0.000377793999988,581,20
20,8,0,580,20.0,0.000388498999985,591,21
