N,trial,iterations,fitness,time,fevals
20,0,0,16.0,4.74129999999e-05,162,0
20,0,10,16.0,0.000103437,305,0
20,0,20,16.0,0.000148386,451,1
20,0,30,16.0,0.000200595000001,587,2
20,0,40,16.0,0.000263780000001,730,3
20,0,50,16.0,0.000325181000001,871,4
20,0,60,17.0,0.00036747,1010,5
20,0,70,18.0,0.000421357,1156,0
20,0,80,18.0,0.000466757000001,1302,0
20,0,90,17.0,0.000516938000001,1444,1
20,0,100,16.0,0.000560339000001,1585,2
20,0,110,14.0,0.000600800000001,1728,3
20,0,120,15.0,0.000644110000001,1870,4
20,0,130,16.0,0.000685252000001,2011,5
20,0,140,14.0,0.000743825000001,2152,6
20,0,150,15.0,0.000785821,2295,7
20,0,160,16.0,0.000840019,2427,8
20,0,170,15.0,0.000917352,2567,9
20,0,180,15.0,0.000961979,2702,10
20,0,190,15.0,0.001014949,2845,11
20,0,200,15.0,0.001054188,2987,12
20,0,210,15.0,0.001112462,3129,13
20,0,220,17.0,0.001155103,3271,14
20,0,230,16.0,0.001210616,3412,15
20,0,240,15.0,0.00126474,3547,16
20,0,250,17.0,0.001308756,3684,17
20,0,260,17.0,0.001379675,3832,18
20,0,270,16.0,0.001422971,3974,19
20,0,280,17.0,0.001478481,4114,20
20,0,290,17.0,0.001520729,4256,21
20,0,300,17.0,0.001569927,4391,22
20,0,310,17.0,0.001614719,4535,23
20,0,320,17.0,0.001676984,4678,24
20,0,330,17.0,0.001736224,4817,25
20,0,340,18.0,0.00178005,4963,26
20,0,350,17.0,0.001838059,5101,27
20,0,360,18.0,0.001896593,5241,28
20,0,370,18.0,0.001958137,5382,29
20,0,380,18.0,0.002007372,5529,30
20,0,390,16.0,0.002051801,5671,31
20,0,400,18.0,0.002096775,5814,32
20,0,410,18.0,0.002158208,5956,33
20,0,420,18.0,0.00222561,6095,34
20,0,430,18.0,0.00227187,6227,35
20,0,440,17.0,0.002337748,6366,36
20,0,450,16.0,0.002386165,6508,37
20,0,460,16.0,0.002440026,6650,38
20,0,470,16.0,0.002483736,6789,39
20,0,480,16.0,0.002522506,6932,40
20,0,490,16.0,0.002565235,7067,41
20,0,500,16.0,0.002643935,7208,42
20,0,510,16.0,0.002720334,7346,43
20,0,520,16.0,0.002765979,7480,44
20,0,530,16.0,0.002810993,7623,45
20,0,540,16.0,0.002883354,7764,46
20,0,550,16.0,0.002936206,7906,47
20,0,560,14.0,0.002977114,8044,48
20,0,570,14.0,0.003018349,8180,49
20,0,580,14.0,0.003064911,8323,50
20,0,590,14.0,0.00310703,8456,51
20,0,600,16.0,0.003158055,8595,52
20,0,610,18.0,0.003201738,8733,53
20,0,620,18.0,0.003243582,8871,54
20,0,630,17.0,0.003297052,9010,55
20,0,640,16.0,0.003340192,9148,56
20,0,650,16.0,0.003384817,9289,57
20,0,660,16.0,0.00342747,9428,58
20,0,670,18.0,0.003471996,9569,59
20,0,680,18.0,0.003561679,9709,60
20,0,690,18.0,0.003612467,9847,61
20,0,700,18.0,0.003666525,9991,62
20,0,710,17.0,0.003709241,10132,63
20,0,720,17.0,0.003749162,10276,64
20,0,730,17.0,0.003792733,10417,65
20,0,740,17.0,0.003844309,10558,66
20,0,750,17.0,0.003885645,10707,67
20,0,760,17.0,0.003925216,10845,68
20,0,770,17.0,0.00396907,10981,69
20,0,780,17.0,0.00400836,11122,70
20,0,790,18.0,0.004054892,11263,71
20,0,800,16.0,0.004098716,11401,72
20,0,810,15.0,0.004151608,11539,73
20,0,820,14.0,0.004191861,11686,74
20,0,830,16.0,0.004232826,11820,75
20,0,840,15.0,0.004275441,11956,76
20,0,850,16.0,0.004321347,12093,77
20,0,860,16.0,0.004365211,12227,78
20,0,870,16.0,0.004408478,12360,79
20,0,880,16.0,0.00446887,12506,80
20,0,890,16.0,0.004529916,12641,81
20,0,900,16.0,0.004576563,12776,82
20,0,910,16.0,0.004643781,12920,83
20,0,920,16.0,0.004687785,13060,84
20,0,930,16.0,0.004728075,13196,85
20,0,940,18.0,0.004770244,13332,86
20,0,950,17.0,0.004831383,13483,87
20,0,960,17.0,0.004872289,13622,88
20,0,970,16.0,0.004912489,13760,89
20,0,980,17.0,0.004959733,13905,90
20,0,990,15.0,0.004999861,14050,91
20,0,1000,14.0,0.005041992,14192,92
20,0,1010,15.0,0.005103949,14338,93
20,0,1020,17.0,0.005145708,14470,94
20,0,1030,17.0,0.00519294,14611,95
20,0,1040,15.0,0.005233275,14751,96
20,0,1050,15.0,0.005292271,14891,97
20,0,1060,16.0,0.005334695,15030,98
20,0,1070,16.0,0.005389771,15169,99
20,0,1070,18.0,0.005389771,15169,optimal
40,0,0,27.0,0.000113488999999,320,0
40,0,10,27.0,0.000246408,603,0
40,0,20,28.0,0.000365952,881,1
40,0,30,31.0,0.000469898,1163,0
40,0,40,31.0,0.000577455,1457,0
40,0,50,31.0,0.000697209,1741,1
40,0,60,31.0,0.000802256,2019,2
40,0,70,31.0,0.000912229000001,2306,3
40,0,80,31.0,0.001015126,2595,4
40,0,90,31.0,0.00111852,2870,5
40,0,100,31.0,0.001240643,3148,6
40,0,110,31.0,0.001343564,3418,7
40,0,120,31.0,0.001442722,3702,8
40,0,130,33.0,0.00155115,3983,9
40,0,140,32.0,0.001669681,4265,0
40,0,150,33.0,0.001769233,4541,1
40,0,160,33.0,0.001901468,4816,2
40,0,170,32.0,0.002025531,5104,3
40,0,180,32.0,0.002123899,5390,4
40,0,190,32.0,0.002235786,5677,5
