N,trial,iterations,fitness,time,fevals
20,0,0,10.0,0.000169534,11,0
20,0,10,12.0,0.000319868,21,0
20,0,20,12.0,0.000395364,31,0
20,0,30,13.0,0.000464074,41,1
20,0,40,13.0,0.000553421,51,0
20,0,50,13.0,0.000655215,61,1
20,0,60,13.0,0.000743984,71,2
20,0,70,13.0,0.000827703,81,3
20,0,80,13.0,0.000891145,91,4
20,0,90,15.0,0.000969026,101,5
20,0,100,15.0,0.001027037,111,0
20,0,110,15.0,0.001146739,121,1
20,0,120,15.0,0.001226009,131,2
20,0,130,15.0,0.001277014,141,3
20,0,140,15.0,0.001314134,151,4
20,0,150,15.0,0.001759737,161,5
20,0,160,15.0,0.001837526,171,6
20,0,170,15.0,0.001907636,181,7
20,0,180,15.0,0.001960795,191,8
20,0,190,15.0,0.002016006,201,9
20,0,200,15.0,0.002048081,211,10
20,0,210,15.0,0.002077677,221,11
20,0,220,15.0,0.002146414,231,12
20,0,230,15.0,0.0021939,241,13
20,0,240,15.0,0.002226481,251,14
20,0,250,15.0,0.002264011,261,15
20,0,260,15.0,0.002301063,271,16
20,0,270,15.0,0.002331433,281,17
20,0,280,15.0,0.002365314,291,18
20,0,290,15.0,0.002402485,301,19
20,0,300,15.0,0.002438885,311,20
20,0,310,15.0,0.00247073,321,21
20,0,320,15.0,0.002520504,331,22
20,0,330,15.0,0.002559507,341,23
20,0,340,15.0,0.002594808,351,24
20,0,350,15.0,0.002626845,361,25
20,0,360,15.0,0.002662492,371,26
20,0,370,15.0,0.00271525,381,27
20,0,380,15.0,0.002762868,391,28
20,0,390,15.0,0.002811329,401,29
20,0,400,15.0,0.002863909,411,30
20,0,410,15.0,0.002892524,421,31
20,0,420,15.0,0.002918541,431,32
20,0,430,15.0,0.002948422,441,33
20,0,440,15.0,0.002977622,451,34
20,0,450,15.0,0.003006138,461,35
20,0,460,15.0,0.003045182,471,36
20,0,470,15.0,0.003089022,481,37
20,0,480,15.0,0.003129925,491,38
20,0,490,15.0,0.003161151,501,39
20,0,500,15.0,0.003191546,511,40
20,0,510,15.0,0.003235137,521,41
20,0,520,15.0,0.003271716,531,42
20,0,530,15.0,0.003363262,541,43
20,0,540,15.0,0.003397449,551,44
20,0,550,15.0,0.003440904,561,45
20,0,560,15.0,0.003478902,571,46
20,0,570,15.0,0.003519572,581,47
20,0,580,15.0,0.003571145,591,48
20,0,590,15.0,0.003600824,601,49
20,0,600,15.0,0.00362918,611,50
20,0,610,15.0,0.003660244,621,51
20,0,620,15.0,0.003689276,631,52
20,0,630,15.0,0.00372062,641,53
20,0,640,15.0,0.003756684,651,54
20,0,650,15.0,0.003784419,661,55
20,0,660,15.0,0.003815751,671,56
20,0,670,15.0,0.003841035,681,57
20,0,680,15.0,0.003866462,691,58
20,0,690,15.0,0.003898043,701,59
20,0,700,15.0,0.003940368,711,60
20,0,710,15.0,0.003963221,721,61
20,0,720,15.0,0.003993294,731,62
20,0,730,15.0,0.004019792,741,63
20,0,740,15.0,0.004042265,751,64
20,0,750,15.0,0.004070185,761,65
20,0,760,15.0,0.004119162,771,66
20,0,770,15.0,0.00415381,781,67
20,0,780,15.0,0.004177578,791,68
20,0,790,15.0,0.004202618,801,69
20,0,800,15.0,0.004234843,811,70
20,0,810,15.0,0.004302323,821,71
20,0,820,15.0,0.004332376,831,72
20,0,830,15.0,0.004376923,841,73
20,0,840,15.0,0.004410467,851,74
20,0,850,15.0,0.004493096,861,75
20,0,860,15.0,0.004528174,871,76
20,0,870,15.0,0.00456025,881,77
20,0,880,15.0,0.004589012,891,78
20,0,890,15.0,0.004619861,901,79
20,0,900,15.0,0.004664763,911,80
20,0,910,15.0,0.004698941,921,81
20,0,920,15.0,0.004732545,931,82
20,0,930,15.0,0.004786936,941,83
20,0,940,15.0,0.004821406,951,84
20,0,950,15.0,0.004889911,961,85
20,0,960,15.0,0.004911555,971,86
20,0,970,15.0,0.00493703,981,87
20,0,980,15.0,0.004954211,991,88
20,0,990,15.0,0.004972474,1001,89
20,0,1000,15.0,0.004991606,1011,90
20,0,1010,15.0,0.005010866,1021,91
20,0,1020,15.0,0.005035168,1031,92
20,0,1030,15.0,0.005055402,1041,93
20,0,1040,15.0,0.005071204,1051,94
20,0,1050,15.0,0.005086568,1061,95
20,0,1060,15.0,0.005105009,1071,96
20,0,1070,15.0,0.005135998,1081,97
20,0,1080,15.0,0.005160606,1091,98
20,0,1090,15.0,0.005181472,1101,99
20,0,1090,15.0,0.005181472,1101,optimal
40,0,0,22.0,1.9654e-05,11,0
40,0,10,24.0,3.792e-05,21,0
40,0,20,28.0,5.6868e-05,31,0
40,0,30,28.0,7.2574e-05,41,0
40,0,40,32.0,9.1932e-05,51,1
40,0,50,32.0,0.000131785,61,0
40,0,60,34.0,0.000154995,71,1
40,0,70,34.0,0.000181011,81,0
40,0,80,34.0,0.000198655,91,1
40,0,90,34.0,0.000231142,101,2
40,0,100,34.0,0.000254431,111,3
40,0,110,34.0,0.000284508,121,4
40,0,120,34.0,0.000320853,131,5
40,0,130,34.0,0.000340611,141,6
40,0,140,34.0,0.000361189,151,7
40,0,150,34.0,0.000385136,161,8
40,0,160,34.0,0.000411557,171,9
40,0,170,34.0,0.000456494,181,10
40,0,180,34.0,0.000479277,191,11
40,0,190,34.0,0.000501284,201,12
40,0,200,34.0,0.000519774,211,13
40,0,210,34.0,0.000542227,221,14
40,0,220,34.0,0.000570738,231,15
40,0,230,34.0,0.000591017,241,16
40,0,240,34.0,0.00061702,251,17
40,0,250,34.0,0.00064356,261,18
40,0,260,34.0,0.000670215,271,19
40,0,270,34.0,0.000697687,281,20
40,0,280,34.0,0.000826872,291,21
40,0,290,34.0,0.000852819,301,22
40,0,300,34.0,0.000876029,311,23
40,0,310,34.0,0.00090399,321,24
40,0,320,34.0,0.000936463,331,25
40,0,330,34.0,0.000962763,341,26
40,0,340,34.0,0.00098176,351,27
40,0,350,34.0,0.001006465,361,28
40,0,360,34.0,0.001026221,371,29
40,0,370,34.0,0.001042606,381,30
40,0,380,34.0,0.001058657,391,31
40,0,390,34.0,0.001074287,401,32
40,0,400,34.0,0.001087753,411,33
40,0,410,34.0,0.001104143,421,34
40,0,420,34.0,0.001123775,431,35
40,0,430,34.0,0.001153519,441,36
40,0,440,34.0,0.001184749,451,37
40,0,450,34.0,0.001203746,461,38
40,0,460,34.0,0.001228543,471,39
40,0,470,34.0,0.001250249,481,40
40,0,480,34.0,0.001270001,491,41
40,0,490,34.0,0.001288572,501,42
40,0,500,34.0,0.001312427,511,43
40,0,510,34.0,0.001335366,521,44
40,0,520,34.0,0.001359393,531,45
40,0,530,34.0,0.001411316,541,46
40,0,540,34.0,0.001427395,551,47
40,0,550,34.0,0.00144732,561,48
40,0,560,34.0,0.001464029,571,49
40,0,570,34.0,0.001505011,581,50
40,0,580,34.0,0.001520546,591,51
40,0,590,34.0,0.001536694,601,52
40,0,600,34.0,0.00155811,611,53
40,0,610,34.0,0.001582819,621,54
40,0,620,34.0,0.001609039,631,55
40,0,630,34.0,0.001634882,641,56
