iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0910616887132,0.0910757931344,0.0910384603039,1.0,1.0,1.0,13.450139086
100,0.091148329735,0.0911565521671,0.0911245560157,1.0,1.0,1.0,1945.53985151
200,0.0915038861019,0.0915134201741,0.0914929461339,1.0,1.0,1.0,3686.97893873
300,0.0915546828588,0.0915643458444,0.0915429207616,1.0,1.0,1.0,5565.44011494
400,0.0915516716505,0.0915615266214,0.0915386370463,1.0,1.0,1.0,7563.92700792
500,0.0915154593967,0.0915266268631,0.0914988284135,1.0,1.0,1.0,9212.87833579
600,0.0914736403406,0.0914843667245,0.0914589291937,1.0,1.0,1.0,10739.7273468
700,0.0914634869334,0.0914741202266,0.0914483406184,1.0,1.0,1.0,12244.4693995
800,0.0914088544741,0.0914203881418,0.0913940112329,1.0,1.0,1.0,13790.3466384
900,0.0913962872826,0.0914085133021,0.0913820702349,1.0,1.0,1.0,15495.1647128
1000,0.0913675377553,0.0913800886341,0.0913537383586,1.0,1.0,1.0,17418.8022174
1100,0.0912973130874,0.0913097999938,0.0912860721576,1.0,1.0,1.0,19318.9092216
1200,0.0914526313403,0.0914644087388,0.09144024025,1.0,1.0,1.0,21074.8290552
1300,0.0913840051185,0.0913959075562,0.0913720062772,1.0,1.0,1.0,22927.7683486
1400,0.0913601694728,0.0913726419756,0.0913481600763,1.0,1.0,1.0,24814.4811875
1500,0.0914353366655,0.0914477957862,0.091415591322,1.0,1.0,1.0,26679.6052854
1600,0.0917066039282,0.0917215805524,0.0916820145891,1.0,1.0,1.0,28181.7584843
1700,0.0914644734435,0.0914776547496,0.0914462816862,1.0,1.0,1.0,29711.1576266
1800,0.0914010436006,0.0914169580431,0.0913755067731,1.0,1.0,1.0,31226.0529591
1900,0.0913393330885,0.0913559933419,0.0913123140941,1.0,1.0,1.0,32749.3503429
2000,0.0914426778032,0.0914583798221,0.0914166306424,1.0,1.0,1.0,34258.6618375
2100,0.0914492526596,0.0914657546014,0.0914244494359,1.0,1.0,1.0,36001.9097382
2200,0.0912950765499,0.0913118278007,0.0912725176851,1.0,1.0,1.0,37869.1956595
2300,0.0913131624603,0.0913303794582,0.0912928733916,1.0,1.0,1.0,39760.2187643
2400,0.0914086515376,0.0914261797429,0.0913879036891,1.0,1.0,1.0,41464.8013397
2500,0.0914745905784,0.0914927927999,0.0914567665229,1.0,1.0,1.0,43333.4115556
2600,0.0914339142415,0.0914507321028,0.091411872365,1.0,1.0,1.0,45242.1033761
2700,0.0913807798153,0.091397216209,0.0913651331665,1.0,1.0,1.0,46897.2780111
2800,0.0914715842109,0.0914881880597,0.0914512272034,1.0,1.0,1.0,48407.6012098
2900,0.0915397694843,0.0915551715798,0.0915209683116,1.0,1.0,1.0,49919.1292095
3000,0.0915551227191,0.0915696893638,0.0915369071911,1.0,1.0,1.0,51464.1939201
3100,0.0915719442176,0.091585980523,0.091552954115,1.0,1.0,1.0,53232.0823429
