iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.213759109816,0.213742987825,0.213757472487,1.0,1.0,1.0,0.459198151
100,0.20178973058,0.201774034861,0.201785281693,1.0,1.0,1.0,47.610978909
200,0.191841584232,0.191824045495,0.191836640545,1.0,1.0,1.0,97.309062325
300,0.179866847174,0.179849768298,0.179856909284,1.0,1.0,1.0,160.374644259
400,0.165597098593,0.165581568211,0.165583604409,1.0,1.0,1.0,222.764947083
500,0.153627171187,0.153614385898,0.153612623898,1.0,1.0,1.0,290.470789679
600,0.1436374288,0.143629652711,0.143620498884,1.0,1.0,1.0,358.043697603
700,0.13254411948,0.132537364145,0.132521383346,1.0,1.0,1.0,410.193352177
800,0.12446141224,0.124457536968,0.124436575975,1.0,1.0,1.0,461.093053512
900,0.11664522631,0.116642185363,0.116617125962,1.0,1.0,1.0,514.166160225
1000,0.110230219902,0.110228299815,0.110201313688,1.0,1.0,1.0,566.988656805
1100,0.103184662846,0.103185158474,0.103156990696,1.0,1.0,1.0,619.600281662
1200,0.0985754970948,0.0985789508763,0.0985482692396,1.0,1.0,1.0,670.025399799
1300,0.094739016495,0.0947431156061,0.094711140147,1.0,1.0,1.0,729.028139065
1400,0.0927203542071,0.0927274541452,0.0926936338754,1.0,1.0,1.0,791.862499984
1500,0.0912861867044,0.0912936836721,0.0912600860991,1.0,1.0,1.0,860.682395192
1600,0.0910550685805,0.0910652433369,0.0910293495542,1.0,1.0,1.0,928.960838713
1700,0.0909279660123,0.0909409421551,0.0909033410486,1.0,1.0,1.0,991.06451515
1800,0.0908288735091,0.0908438747087,0.0908035101793,1.0,1.0,1.0,1059.73278032
1900,0.090702684911,0.0907201692113,0.0906811626534,1.0,1.0,1.0,1124.62140454
2000,0.090620117069,0.0906399216746,0.0905980514072,1.0,1.0,1.0,1190.74220903
2100,0.0904594070835,0.0904803526025,0.0904386209927,1.0,1.0,1.0,1259.01906712
2200,0.0903137923333,0.0903375425342,0.0902921947602,1.0,1.0,1.0,1320.39251613
2300,0.0902238771642,0.0902491645072,0.0902033511026,1.0,1.0,1.0,1389.93539734
2400,0.0901567887733,0.0901833515989,0.0901367670134,1.0,1.0,1.0,1456.11782862
2500,0.0900478344278,0.0900761803057,0.0900287581122,1.0,1.0,1.0,1523.59329366
2600,0.0900023232951,0.0900306538668,0.0899838407312,1.0,1.0,1.0,1592.36986157
2700,0.0899004842081,0.0899314936419,0.0898798673473,1.0,1.0,1.0,1655.09453169
2800,0.0898114199086,0.0898447374814,0.0897884064302,1.0,1.0,1.0,1724.10181844
2900,0.08972149902,0.0897564147686,0.0896998024753,1.0,1.0,1.0,1791.12116331
3000,0.089627815683,0.0896648225788,0.0896070838185,1.0,1.0,1.0,1853.64264143
3100,0.0895504148275,0.089588462634,0.0895308709112,1.0,1.0,1.0,1922.41923538
3200,0.0894928398076,0.0895319392192,0.089474278757,1.0,1.0,1.0,1984.79143348
3300,0.0894130970836,0.089453358244,0.0893960790314,1.0,1.0,1.0,2051.77562256
3400,0.0893416628825,0.0893824831306,0.0893241089229,1.0,1.0,1.0,2120.76983746
3500,0.0892478296481,0.0892907621314,0.0892307922492,1.0,1.0,1.0,2184.12463041
3600,0.0889856054504,0.0890335452536,0.0889746202007,1.0,1.0,1.0,2252.74323144
3700,0.0888930467787,0.0889416959568,0.0888844867828,1.0,1.0,1.0,2316.67319289
3800,0.0887676821222,0.0888184142613,0.0887611464366,1.0,1.0,1.0,2383.05696355
3900,0.0886301165939,0.0886838082465,0.0886228516184,1.0,1.0,1.0,2451.66490496
4000,0.0884421250743,0.0884985054402,0.0884362834089,1.0,1.0,1.0,2512.85596329
4100,0.0883010093812,0.0883578057476,0.0882975530161,1.0,1.0,1.0,2581.37313936
4200,0.0881742872536,0.0882340920908,0.0881729694939,1.0,1.0,1.0,2644.62415345
4300,0.0879675418869,0.0880329560479,0.0879723880996,1.0,1.0,1.0,2710.00826274
4400,0.0876794354521,0.0877528522785,0.0876830689445,1.0,1.0,1.0,2778.76210136
4500,0.0875451409371,0.0876191957473,0.0875520806501,1.0,1.0,1.0,2841.51316817
4600,0.0873925712551,0.0874715779288,0.0874001752917,1.0,1.0,1.0,2909.56432457
4700,0.0872238062436,0.0873077257711,0.0872270009159,1.0,1.0,1.0,2973.44810193
4800,0.0870419062877,0.0871307210714,0.0870476485075,1.0,1.0,1.0,3036.30229593
4900,0.0868241303513,0.0869178683303,0.0868268791592,1.0,1.0,1.0,3105.32924971
5000,0.086690312258,0.0867867825252,0.0866951979496,1.0,1.0,1.0,3168.34580728
5100,0.0864978232546,0.0866005349287,0.0865055180218,1.0,1.0,1.0,3235.2921392
5200,0.0864573524289,0.0865622598179,0.0864644877567,1.0,1.0,1.0,3302.2660774
5300,0.0863412529851,0.0864493743785,0.0863460000757,1.0,1.0,1.0,3362.63699015
5400,0.0862131446357,0.0863256850349,0.086216995101,1.0,1.0,1.0,3431.33987039
5500,0.086029055807,0.0861470151463,0.0860327959325,1.0,1.0,1.0,3496.3178289
5600,0.0859079464287,0.0860289963563,0.0859155610024,1.0,1.0,1.0,3561.42339978
5700,0.0857427604242,0.0858712991751,0.0857566069673,1.0,1.0,1.0,3630.33707185
5800,0.08563645739,0.0857686794536,0.0856479435052,1.0,1.0,1.0,3692.25716412
5900,0.0854863906193,0.0856209602013,0.0855001158818,1.0,1.0,1.0,3761.11061203
6000,0.0853671243899,0.0855037801119,0.0853818929259,1.0,1.0,1.0,3826.35065045
6100,0.0852867301255,0.0854305361658,0.0853035899958,1.0,1.0,1.0,3889.14924727
6200,0.0852012510107,0.0853460169667,0.0852177392627,1.0,1.0,1.0,3945.62328847
6300,0.0850786560081,0.0852283401313,0.0850929346134,1.0,1.0,1.0,3999.61492702
6400,0.0849995311601,0.0851552518177,0.0850061644068,1.0,1.0,1.0,4053.523674
6458,0.0849434574084,0.08510401673,0.0849491447037,1.0,1.0,1.0,4085.1736997,optimal
0,0.10406149687,0.104065735687,0.104053238485,1.0,1.0,1.0,0.522900917
100,0.0985996229906,0.0986047923543,0.098589255707,1.0,1.0,1.0,53.397142777
200,0.0950952568706,0.0951035586834,0.0950824184546,1.0,1.0,1.0,105.513719628
300,0.0926025064476,0.0926105096336,0.0925839950854,1.0,1.0,1.0,156.455000495
400,0.0914806462649,0.0914895894711,0.0914593784048,1.0,1.0,1.0,207.034963736
500,0.0913073426705,0.0913160661933,0.0912853145719,1.0,1.0,1.0,265.065142061
600,0.0911895491069,0.0912001181212,0.0911696127076,1.0,1.0,1.0,328.995955235
700,0.0910931598889,0.0911051393621,0.0910740483036,1.0,1.0,1.0,393.89409858
800,0.0909479752874,0.0909612366226,0.09092753435,1.0,1.0,1.0,462.759539101
900,0.0908961374173,0.0909105809625,0.0908757602067,1.0,1.0,1.0,528.707646441
1000,0.0908278836952,0.0908439607588,0.0908074513131,1.0,1.0,1.0,597.046837901
1100,0.0907344771268,0.090751128647,0.090714922266,1.0,1.0,1.0,659.761569017
1200,0.0906911804271,0.0907086777174,0.090671279344,1.0,1.0,1.0,724.619494383
1300,0.0905855635873,0.0906035855316,0.0905694213368,1.0,1.0,1.0,793.97920677
1400,0.0905047585758,0.0905246058251,0.0904852496294,1.0,1.0,1.0,857.502535383
1500,0.0903727959014,0.090394341094,0.0903550213493,1.0,1.0,1.0,926.922990453
1600,0.0903031813601,0.0903264943467,0.0902837391286,1.0,1.0,1.0,995.272847975
1700,0.0901842840625,0.0902092306471,0.0901665918262,1.0,1.0,1.0,1061.15662785
1800,0.0901095952093,0.0901353788148,0.0900952999925,1.0,1.0,1.0,1130.30929419
1900,0.090000974746,0.0900282665622,0.0899880161068,1.0,1.0,1.0,1193.09682587
2000,0.0897851403523,0.0898156899921,0.0897762965532,1.0,1.0,1.0,1261.28811031
2100,0.0897003312209,0.0897324574701,0.0896938970052,1.0,1.0,1.0,1326.39682605
2200,0.0895702070583,0.089604895789,0.0895627882843,1.0,1.0,1.0,1389.59076147
2300,0.0895094715821,0.0895444963902,0.089502462873,1.0,1.0,1.0,1459.3219356
2400,0.0893828603884,0.0894200084795,0.0893751648144,1.0,1.0,1.0,1522.27218774
2500,0.0892788480242,0.089318286089,0.0892723640788,1.0,1.0,1.0,1589.06885332
2600,0.0891555284087,0.0891965794823,0.0891490866253,1.0,1.0,1.0,1658.43522663
2700,0.0891024572162,0.0891449107941,0.0890960618345,1.0,1.0,1.0,1721.71064324
