N	trial	iterations	fitness	time	fevals
10	0	0	0.307229565	4.05E-05	44
10	0	10	0.296190885	7.53E-05	83
10	0	20	0.321406321	0.000111097	122
10	0	30	0.364059122	0.000143919	157
10	0	40	0.379378275	0.000177895	191
10	0	50	0.364059122	0.000209259	228
10	0	60	0.379378275	0.00023929	264
10	0	70	0.379378275	0.000275191	298
10	0	80	0.379378275	0.000303792	334
10	0	90	0.379378275	0.000332995	371
10	0	100	0.397283324	0.000363132	404
10	0	110	0.397283324	0.00039387	440
10	0	120	0.397283324	0.000423171	473
10	0	130	0.340101943	0.000452888	508
10	0	140	0.383838398	0.000482608	544
10	0	150	0.373773057	0.000512572	578
10	0	160	0.366832147	0.000554392	607
10	0	170	0.366832147	0.000583391	642
10	0	180	0.400906364	0.000612712	674
10	0	190	0.344675599	0.000643019	710
10	0	200	0.383838398	0.000672183	744
10	0	210	0.321433848	0.00070486	776
10	0	220	0.37078193	0.000735502	812
10	0	230	0.37078193	0.000763456	846
10	0	240	0.383838398	0.000797544	882
10	0	250	0.383838398	0.000828116	917
10	0	260	0.383838398	0.000860789	954
10	0	270	0.383838398	0.000893422	987
10	0	280	0.383838398	0.000927106	1021
10	0	290	0.383838398	0.000960808	1055
10	0	300	0.383838398	0.001148398	1091
10	0	310	0.400906364	0.001179017	1124
10	0	320	0.269925841	0.001209776	1157
10	0	330	0.294860496	0.001242601	1193
10	0	340	0.256587066	0.001273316	1229
10	0	350	0.295721981	0.001304809	1264
10	0	360	0.295721981	0.001336924	1298
10	0	370	0.299496884	0.001367128	1333
10	0	380	0.308817261	0.0013984	1370
10	0	390	0.308817261	0.001431211	1409
10	0	400	0.299266942	0.001460462	1443
10	0	410	0.308817261	0.001493742	1477
10	0	420	0.308817261	0.00152618	1515
10	0	430	0.308817261	0.001556429	1548
10	0	440	0.308817261	0.001584859	1578
10	0	450	0.266906256	0.001619105	1614
10	0	460	0.294758489	0.001650958	1647
10	0	470	0.328818905	0.001684449	1682
10	0	480	0.323318466	0.001717028	1718
10	0	490	0.31978348	0.001753298	1751
10	0	500	0.329396754	0.00178461	1787
10	0	510	0.313326802	0.001810217	1821
10	0	520	0.324646243	0.001841588	1855
10	0	530	0.307753199	0.001870589	1892
10	0	540	0.309769157	0.001903471	1930
10	0	550	0.347011882	0.001937547	1965
10	0	560	0.34738647	0.001969859	1998
10	0	570	0.34738647	0.002020074	2034
10	0	580	0.34738647	0.002068899	2072
10	0	590	0.341478523	0.002100745	2110
10	0	600	0.334551318	0.002129243	2147
10	0	610	0.334551318	0.002163152	2184
10	0	620	0.331117602	0.002194137	2220
10	0	630	0.331117602	0.002225226	2255
10	0	640	0.310337268	0.002260385	2292
10	0	650	0.306059852	0.002295324	2327
10	0	660	0.28689864	0.002326074	2363
10	0	670	0.289746771	0.002350098	2396
10	0	680	0.282126688	0.002380241	2434
10	0	690	0.259537197	0.002410956	2468
10	0	700	0.318467776	0.002439777	2505
10	0	710	0.358677153	0.002468076	2541
10	0	720	0.358677153	0.002496759	2575
10	0	730	0.383838398	0.002528778	2611
10	0	740	0.364059122	0.002554682	2643
10	0	750	0.37078193	0.002586477	2678
10	0	760	0.37078193	0.002621831	2713
10	0	770	0.386684439	0.002655993	2749
10	0	780	0.37078193	0.002686481	2784
10	0	790	0.37078193	0.002717761	2823
10	0	800	0.37078193	0.002749914	2858
10	0	810	0.383838398	0.002777534	2895
10	0	820	0.383838398	0.002810624	2931
10	0	830	0.383838398	0.00285813	2966
10	0	840	0.383838398	0.002897886	3000
10	0	850	0.338169467	0.002931709	3034
10	0	860	0.363012563	0.002961776	3070
10	0	870	0.34896211	0.002995276	3103
10	0	880	0.34896211	0.003026152	3140
10	0	890	0.294295744	0.003061012	3173
10	0	900	0.295892989	0.003091632	3206
10	0	910	0.295462604	0.003121847	3244
10	0	920	0.295462604	0.003157379	3277
10	0	930	0.309891677	0.003186672	3311
10	0	940	0.309891677	0.003221081	3345
10	0	950	0.276821558	0.003251752	3382
10	0	960	0.33449813	0.003287468	3419
10	0	970	0.334711102	0.003340716	3454
10	0	980	0.34896211	0.003369803	3490
10	0	990	0.321509013	0.003399217	3525
10	0	1000	0.303546236	0.003428163	3558
10	0	1010	0.280045281	0.003456466	3592
10	0	1020	0.341398462	0.00348878	3630
10	0	1030	0.377351186	0.003516479	3662
10	0	1040	0.386684439	0.003548458	3699
10	0	1050	0.386684439	0.003580559	3736
10	0	1060	0.386684439	0.003613092	3772
10	0	1070	0.386684439	0.003647941	3809
10	0	1080	0.386684439	0.003680695	3845
10	0	1090	0.356521965	0.003710347	3878
10	0	1100	0.348572998	0.003745601	3913
10	0	1110	0.340387033	0.00377448	3950
10	0	1120	0.328003574	0.003809316	3984
10	0	1130	0.328818905	0.003844017	4018
10	0	1140	0.322807996	0.003874435	4054
10	0	1150	0.322807996	0.003901809	4088
10	0	1160	0.322807996	0.003933203	4123
10	0	1170	0.322807996	0.003960799	4157
10	0	1180	0.337283972	0.003986764	4190
10	0	1180	0.400906364	0.003986764	4190
