N	trial	iterations	fitness	time	fevals
10	0	0	0.266012198	0.001151648	100
10	0	10	0.255098158	0.002294356	210
10	0	20	0.281367929	0.003463881	320
10	0	30	0.294634567	0.004611814	430
10	0	40	0.222225011	0.005759749	540
10	0	50	0.209301241	0.006920515	650
10	0	60	0.322983607	0.008064547	760
10	0	70	0.250622678	0.009375126	870
10	0	80	0.250288496	0.011237247	980
10	0	90	0.269336571	0.01244444	1090
10	0	100	0.23631267	0.013610182	1200
10	0	110	0.244306488	0.014741884	1310
10	0	120	0.233083832	0.015878146	1420
10	0	130	0.266003059	0.017048071	1530
10	0	140	0.230955888	0.018225789	1640
10	0	150	0.245319479	0.019410419	1750
10	0	160	0.294521032	0.020599914	1860
10	0	170	0.25431573	0.021835368	1970
10	0	180	0.252462333	0.02299074	2080
10	0	190	0.281055652	0.024146904	2190
10	0	200	0.266228325	0.025408915	2300
10	0	210	0.239975918	0.026583198	2410
10	0	220	0.250848396	0.027884974	2520
10	0	230	0.25032086	0.029094546	2630
10	0	240	0.292818577	0.03025275	2740
10	0	250	0.256534132	0.031456795	2850
10	0	260	0.262640101	0.032616097	2960
10	0	270	0.250325101	0.033748338	3070
10	0	280	0.247658198	0.03487923	3180
10	0	290	0.275170259	0.036036679	3290
10	0	300	0.292186287	0.037388449	3400
10	0	310	0.275232177	0.039051029	3510
10	0	320	0.26316868	0.040264777	3620
10	0	330	0.261652376	0.041428108	3730
10	0	340	0.227328653	0.042585904	3840
10	0	350	0.247489818	0.043734407	3950
10	0	360	0.23547918	0.044877381	4060
10	0	370	0.259394013	0.046049013	4170
10	0	380	0.300777366	0.047188197	4280
10	0	390	0.207588396	0.048336947	4390
10	0	400	0.244161176	0.049565982	4500
10	0	410	0.228717473	0.050716087	4610
10	0	420	0.217415842	0.051877809	4720
10	0	430	0.209069866	0.053048905	4830
10	0	440	0.24380995	0.054253274	4940
10	0	450	0.231244638	0.055390028	5050
10	0	460	0.271247728	0.056539394	5160
10	0	470	0.244122305	0.05771212	5270
10	0	480	0.243468151	0.059352179	5380
10	0	490	0.264710872	0.061011921	5490
10	0	500	0.252706059	0.062164748	5600
10	0	510	0.217053187	0.063323457	5710
10	0	520	0.207477424	0.064618579	5820
10	0	530	0.23753647	0.066142831	5930
10	0	540	0.214276597	0.067338792	6040
10	0	550	0.244392673	0.068481774	6150
10	0	560	0.228888972	0.069630376	6260
10	0	570	0.244475176	0.070801261	6370
10	0	580	0.231322338	0.071961624	6480
10	0	590	0.224802523	0.073138295	6590
10	0	600	0.259491637	0.074275792	6700
10	0	610	0.256455709	0.075424682	6810
10	0	620	0.237648341	0.076577628	6920
10	0	630	0.280896781	0.077853748	7030
10	0	640	0.227166159	0.079075685	7140
10	0	650	0.327691332	0.080219161	7250
10	0	660	0.246676125	0.081362327	7360
10	0	670	0.287662179	0.08252224	7470
10	0	680	0.289432332	0.083672304	7580
10	0	690	0.299251893	0.084808238	7690
10	0	700	0.278159096	0.085951685	7800
10	0	710	0.259972868	0.087108901	7910
10	0	720	0.270933323	0.088253925	8020
10	0	730	0.266473539	0.089428689	8130
10	0	740	0.237130126	0.09066129	8240
10	0	750	0.258564996	0.091915356	8350
10	0	760	0.274449058	0.093623898	8460
10	0	770	0.275485063	0.094801964	8570
10	0	780	0.236125619	0.095969652	8680
10	0	790	0.302215038	0.097130283	8790
10	0	800	0.314385437	0.098293655	8900
10	0	810	0.196973065	0.099458271	9010
10	0	820	0.285423428	0.100661363	9120
10	0	830	0.246959566	0.101818902	9230
10	0	840	0.261318585	0.102957635	9340
10	0	850	0.233010568	0.115432584	9450
10	0	860	0.271847025	0.116131374	9560
10	0	870	0.247023829	0.11683077	9670
10	0	880	0.2121139	0.117514425	9780
10	0	890	0.276691648	0.118202602	9890
10	0	900	0.236713551	0.118882728	10000
10	0	910	0.199848722	0.11955445	10110
10	0	920	0.25762553	0.120261606	10220
