N	trial	iterations	fitness	time	fevals	
10	0	0	0.380796112	0.000257862	11	0
10	0	10	0.380796112	0.000567463	21	0
10	0	20	0.380796112	0.000725678	31	1
10	0	30	0.380796112	0.000809392	41	2
10	0	40	0.385910266	0.000893256	51	3
10	0	50	0.385910266	0.000964605	61	0
10	0	60	0.385910266	0.00102845	71	1
10	0	70	0.385910266	0.00108656	81	2
10	0	80	0.385910266	0.001143436	91	3
10	0	90	0.385910266	0.00126652	101	4
10	0	100	0.385910266	0.001355956	111	5
10	0	110	0.385910266	0.001417163	121	6
10	0	120	0.385910266	0.001536908	131	7
10	0	130	0.385910266	0.00159643	141	8
10	0	140	0.385910266	0.001671688	151	9
10	0	150	0.385910266	0.002052249	161	10
10	0	160	0.385910266	0.002143457	171	11
10	0	170	0.385910266	0.00221542	181	12
10	0	180	0.385910266	0.002289006	191	13
10	0	190	0.385910266	0.002352659	201	14
10	0	200	0.385910266	0.002417338	211	15
10	0	210	0.385910266	0.002499565	221	16
10	0	220	0.385910266	0.002546348	231	17
10	0	230	0.385910266	0.002592405	241	18
10	0	240	0.385910266	0.002647468	251	19
10	0	250	0.385910266	0.002709961	261	20
10	0	260	0.385910266	0.00276903	271	21
10	0	270	0.385910266	0.002815012	281	22
10	0	280	0.385910266	0.00285905	291	23
10	0	290	0.385910266	0.002913144	301	24
10	0	300	0.385910266	0.002969645	311	25
10	0	310	0.385910266	0.003047411	321	26
10	0	320	0.385910266	0.003137815	331	27
10	0	330	0.385910266	0.003210753	341	28
10	0	340	0.385910266	0.003261227	351	29
10	0	350	0.385910266	0.00331326	361	30
10	0	360	0.385910266	0.00335113	371	31
10	0	370	0.385910266	0.003385263	381	32
10	0	380	0.385910266	0.003434133	391	33
10	0	390	0.385910266	0.00351473	401	34
10	0	400	0.385910266	0.00358148	411	35
10	0	410	0.385910266	0.003612716	421	36
10	0	420	0.385910266	0.003645947	431	37
10	0	430	0.385910266	0.003674022	441	38
10	0	440	0.385910266	0.003712063	451	39
10	0	450	0.385910266	0.003756421	461	40
10	0	460	0.385910266	0.003800128	471	41
10	0	470	0.385910266	0.004107156	481	42
10	0	480	0.385910266	0.004141032	491	43
10	0	490	0.385910266	0.004165784	501	44
10	0	500	0.385910266	0.004193394	511	45
10	0	510	0.385910266	0.004227149	521	46
10	0	520	0.385910266	0.004253282	531	47
10	0	530	0.385910266	0.004284016	541	48
10	0	540	0.385910266	0.004312429	551	49
10	0	550	0.385910266	0.004357364	561	50
10	0	560	0.385910266	0.004409739	571	51
10	0	570	0.385910266	0.004514952	581	52
10	0	580	0.385910266	0.004578199	591	53
10	0	590	0.385910266	0.004607025	601	54
10	0	600	0.385910266	0.004631361	611	55
