N,trial,iterations,fitness,time,fevals
10,0,0,0.268977259094,0.007825386,100,0
10,0,10,0.247429991841,0.012090922,210,0
10,0,20,0.271275198735,0.015864969,320,1
10,0,30,0.27747705377,0.01928223,430,0
10,0,40,0.274555432557,0.021803612,540,0
10,0,50,0.298607377551,0.023649712,650,1
10,0,60,0.263440337734,0.025780621,760,0
10,0,70,0.262225945669,0.02824265,870,1
10,0,80,0.290072072302,0.030487638,980,2
10,0,90,0.324961403032,0.032835916,1090,3
10,0,100,0.220059890099,0.035789615,1200,0
10,0,110,0.31956875002,0.03835466,1310,1
10,0,120,0.332568337885,0.0407806,1420,2
10,0,130,0.341478523059,0.042531303,1530,0
10,0,140,0.296043083986,0.0447219,1640,0
10,0,150,0.299784889447,0.047568877,1750,1
10,0,160,0.324985752585,0.050091633,1860,2
10,0,170,0.296209890683,0.052894108,1970,3
10,0,180,0.380516004153,0.054473607,2080,4
10,0,190,0.380516004153,0.056745168,2190,0
10,0,200,0.301966503137,0.059327389,2300,0
10,0,210,0.337093023253,0.061821665,2410,1
10,0,220,0.332568337885,0.064337636,2520,2
10,0,230,0.313890493611,0.066805872,2630,3
10,0,240,0.380516004153,0.069371239,2740,4
10,0,250,0.340978624911,0.071956321,2850,5
10,0,260,0.370621908638,0.07468638,2960,6
10,0,270,0.380516004153,0.077503141,3070,7
10,0,280,0.370621908638,0.080089757,3180,8
10,0,290,0.383838398209,0.082525583,3290,9
10,0,300,0.383838398209,0.085015531,3400,0
10,0,310,0.348588202549,0.087408184,3510,1
10,0,320,0.332473760413,0.090034102,3620,2
10,0,330,0.380516004153,0.092512744,3730,3
10,0,340,0.35018601691,0.09503028,3840,4
10,0,350,0.348572998392,0.09650717,3950,5
10,0,360,0.345203604672,0.099037735,4060,6
10,0,370,0.345203604672,0.101032683,4170,7
10,0,380,0.400906363906,0.104201427,4280,8
10,0,390,0.360039516609,0.106396877,4390,0
10,0,400,0.397283324299,0.108034621,4500,1
10,0,410,0.400906363906,0.110413945,4610,2
10,0,420,0.397283324299,0.11209201,4720,3
10,0,430,0.400906363906,0.113510316,4830,4
10,0,440,0.397283324299,0.115664604,4940,5
10,0,450,0.363012562548,0.117983256,5050,6
10,0,460,0.360039516609,0.120349588,5160,7
10,0,470,0.363012562548,0.122675734,5270,8
10,0,480,0.360039516609,0.124100743,5380,9
10,0,490,0.360039516609,0.126323191,5490,10
10,0,500,0.363012562548,0.128696951,5600,11
10,0,510,0.363012562548,0.130139059,5710,12
10,0,520,0.400906363906,0.132811918,5820,13
10,0,530,0.400906363906,0.135531422,5930,14
10,0,540,0.400906363906,0.137059106,6040,15
10,0,550,0.397283324299,0.139415357,6150,16
10,0,560,0.397283324299,0.141937322,6260,17
10,0,570,0.397283324299,0.143399055,6370,18
10,0,580,0.397283324299,0.145620155,6480,19
10,0,590,0.397283324299,0.147046663,6590,20
10,0,600,0.400906363906,0.149489881,6700,21
10,0,610,0.397283324299,0.151940489,6810,22
10,0,620,0.397283324299,0.154426441,6920,23
10,0,630,0.397283324299,0.156726772,7030,24
10,0,640,0.397283324299,0.15898023,7140,25
10,0,650,0.400906363906,0.161544803,7250,26
10,0,660,0.397283324299,0.164508662,7360,27
10,0,670,0.400906363906,0.166754858,7470,28
10,0,680,0.400906363906,0.169176831,7580,29
10,0,690,0.397283324299,0.171572209,7690,30
10,0,700,0.397283324299,0.172969734,7800,31
10,0,710,0.400906363906,0.175341115,7910,32
10,0,720,0.400906363906,0.177190967,8020,33
10,0,730,0.397283324299,0.178667709,8130,34
10,0,740,0.400906363906,0.181042868,8240,35
10,0,750,0.397283324299,0.18391028,8350,36
10,0,760,0.397283324299,0.187126906,8460,37
10,0,770,0.397283324299,0.190509471,8570,38
10,0,780,0.397283324299,0.193383913,8680,39
10,0,790,0.400906363906,0.19571308,8790,40
10,0,800,0.397283324299,0.198092354,8900,41
10,0,810,0.397283324299,0.20053607,9010,42
10,0,820,0.397283324299,0.202680085,9120,43
10,0,830,0.397283324299,0.205051378,9230,44
10,0,840,0.397283324299,0.232685572,9340,45
10,0,850,0.400906363906,0.234975234,9450,46
10,0,860,0.397283324299,0.237491665,9560,47
10,0,870,0.397283324299,0.24048579,9670,48
10,0,880,0.400906363906,0.242864047,9780,49
10,0,890,0.400906363906,0.245149962,9890,50
10,0,900,0.400906363906,0.247453385,10000,51
10,0,910,0.400906363906,0.24916489,10110,52
10,0,920,0.397283324299,0.250660761,10220,53
10,0,930,0.400906363906,0.253022648,10330,54
10,0,940,0.400906363906,0.255461459,10440,55
10,0,950,0.400906363906,0.257791769,10550,56
10,0,960,0.400906363906,0.263313246,10660,57
10,0,970,0.397283324299,0.265490596,10770,58
10,0,980,0.397283324299,0.267631182,10880,59
10,0,990,0.397283324299,0.269564645,10990,60
10,0,1000,0.400906363906,0.273833927,11100,61
10,0,1010,0.400906363906,0.276069249,11210,62
